collection,contract,tokenId,buyer,seller,price_eth,marketplace,block,timestamp,txhash
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7222,0x7377f8f5ed7543209367a9c83cce3f21b1848a19,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,14.95,seaport,19486100,1711061141,0x8f091fc6b4f37194f2537d0e5b21527b3ffe28b8dab657702fbe8b84577f2a56
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4211,0x59e2198d16409cabd5cd5b5bcbe676cb8701d299,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,14.495,seaport,19485963,1711059480,0x384d48ffebe7e3a8576ed4360d3f8d7f8a65acb5074b7f46fb68df197cee453b
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8461,0x7a39df851dbda5233646ca2defa2a67c34d15c73,0xe9581fb58eb6fdcbd45fcba793149bab6b0e0c4b,29.0,seaport,19485668,1711055904,0x5d65fd88041861d37dcb0322bd19e51f4aa594c167737eee8cd85de56cd8d19d
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4638,0x62f1f2d622741a186e712d09931e384d3f49d1fb,0x1d6bd644bf98b718e260ae53ea224465c7a72b40,14.15,seaport,19485061,1711048545,0xfb7220f408ac946caa8a7d257b8ff5f807d5bed2ccbbafef5d80bc087021ec26
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8003,0x7a6b049d83554da1175d65be3f6264a74a05ae17,0x7a6b049d83554da1175d65be3f6264a74a05ae17,13.477035,seaport,19482468,1711017111,0xb50e53f339c29f5e60b6523c6d31fbd378983238f2b0c11c05cdb527b41af6c0
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8003,0x0097b9cfe64455eed479292671a1121f502bc954,0x7a6b049d83554da1175d65be3f6264a74a05ae17,14.168165,seaport,19482468,1711017111,0xb50e53f339c29f5e60b6523c6d31fbd378983238f2b0c11c05cdb527b41af6c0
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,1855,0x45a5340c78e665f121e76cd36aade25fc5da7ddb,0x45a5340c78e665f121e76cd36aade25fc5da7ddb,13.122915,seaport,19479800,1710984767,0x51322fb8d0d5ec047e5c8c02aac2fdc592e8895e042fe4e96195d4ffb9addcaf
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,1855,0x1fee3385b22d69e93209db2042be58fcac57b59b,0x45a5340c78e665f121e76cd36aade25fc5da7ddb,13.795885,seaport,19479800,1710984767,0x51322fb8d0d5ec047e5c8c02aac2fdc592e8895e042fe4e96195d4ffb9addcaf
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5089,0x0ca6fe18b7370e99735d2b5b1b6928f78ab4725c,0x0ca6fe18b7370e99735d2b5b1b6928f78ab4725c,12.594075,seaport,19477771,1710960136,0xee9c7f60f0391c0ed3bfb659f26bd1b6f6e430c3ba7354d991799bb4f9b1c21a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5089,0x1fee3385b22d69e93209db2042be58fcac57b59b,0x0ca6fe18b7370e99735d2b5b1b6928f78ab4725c,13.239925,seaport,19477771,1710960136,0xee9c7f60f0391c0ed3bfb659f26bd1b6f6e430c3ba7354d991799bb4f9b1c21a
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9563,0x13ffc3afdde405979711729ec6053e2ee395736f,0x2e7573445b46a305f6b80f86ba56e788b2db7e68,15.0,x2y2,19476695,1710947074,0x52d8ce3ae96c0ef317fa006946a5e6ba1fc12497b3560342b2c931fe9127e7ff
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2458,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0x556d6617465fdb80652f01c6134bb9aa849f8f06,25.0,seaport,19476538,1710945168,0xb315c89401b8c74a740ea14075eb9060ebccda96cba5a8d12b38bc1925743254
