sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
1069,7.0,-0.06354416422096673,1,1,473.34,2,0
1070,5.198,-0.2290968986245067,1,4,1264.5991666666666,1,0
1071,4.867297,-0.25947913276737794,1,1,1764.431388888889,1,1
1072,30.0,0.18982430339408538,2,1,473.34,2,0
1073,5.3,-0.21972598912996674,2,1,473.34,1,0
1074,4.909905,-0.2555646650051881,1,1,473.34,1,1
1075,30.99,0.24768459440538215,2,14,473.34,1,0
1076,26.93457,0.010666048975136228,6,3,977.2077777777778,1,1
1077,4.92492,-0.25418521200459476,3,2,1934.2244444444445,1,1
1078,28.89,0.12495064377535864,2,1,567.115,1,0
1079,30.0,0.18982430339408538,33,1,473.34,1,0
1080,31.2,0.25995798946838455,2,7,1488.4427777777778,2,0
1081,37.99,0.6567977631721278,3,1,173.67833333333334,1,0
1082,5.41,-0.20962010634173728,1,1,644.1119444444445,1,0
1083,5.148,-0.23369048171006557,3,4,473.34,1,0
1084,5.197,-0.2291887702862179,3,1,473.34,1,0
1085,29.69,0.17170643449155815,1,9,526.7055555555555,1,0
1086,5.42,-0.20870138972462554,8,1,473.34,1,0
1087,5.59,-0.19308320723372555,1,4,473.34,1,0
1088,35.0,0.4820479953703321,9,8,90.53722222222223,2,0
1089,6.6,-0.10029282890543735,2,4,2013.2797222222223,2,0
1090,6.3,-0.12785432741879027,24,4,1938.6783333333333,2,0
1091,39.0,0.7158269489513295,13,12,473.34,2,0
1092,14.69,0.6429489143379802,1,1,473.34,1,0
1093,31.73,0.2909337008178668,1,5,473.34,1,0
1094,32.99,0.36457407119588103,1,19,473.34,1,0
1095,5.699,-0.18306919610720732,1,37,1352.0113888888889,1,0
1096,5.9,-0.16460299210326082,3,4,473.34,2,0
1097,5.508847,-0.20053886819657263,2,1,473.34,1,1
1098,5.898,-0.16478673542668323,2,4,473.34,1,0
1099,7.499,-0.017700205027089716,2,37,9.779166666666667,1,0
1100,38.0,0.6573822105560801,1,5,473.34,1,0
1101,5.85,-0.1691965751888197,1,17,473.34,2,0
1102,5.79,-0.17470887489149026,1,10,473.34,2,0
1103,5.898,-0.16478673542668323,1,4,473.34,1,0
1104,6.35,-0.12326074433323146,1,1,2111.759722222222,1,0
1105,29.34945,0.15180307883105598,2,1,473.34,1,1
1106,6.9,-0.07273133039208435,1,1,473.34,1,0
1107,0.35,-0.6744907146002902,1,2,473.34,1,0
1108,32.59,0.3411961758377814,2,9,460.2916666666667,1,0
1109,6.25,-0.1324479105043491,1,1,473.34,1,0
1110,31.0,0.24826904178933473,2,2,1780.066388888889,1,0
1111,31.0,0.24826904178933473,5,1,473.34,1,0
1112,31.99,0.3061293328006315,11,1,473.34,1,0
1113,3.1,-0.42184364489455495,2,1,473.34,1,0
1114,31.777,0.2936806035224435,1,3,1941.223888888889,1,0
1115,33.75,0.40899207237627044,3,27,473.34,2,0
1116,32.0,0.30671378018458406,2,1,473.34,1,0
1117,32.0,0.30671378018458406,5,3,473.34,1,0
1118,32.25,0.3213249647833964,1,17,473.34,1,0
1119,32.5,0.3359361493822087,2,1,473.34,1,0
1120,6.5,-0.10947999507655497,1,5,473.34,1,0
1121,6.5,-0.10947999507655497,1,2,473.34,1,0
1122,2.5,-1.4174060024752717,1,19,279.3208333333333,1,0
1123,6.95,-0.06813774730652554,1,37,398.47027777777777,2,0
1124,34.0,0.4236032569750828,5,3,473.34,2,0
1125,0.69,-1.5231909789706728,1,33,139.16972222222222,1,0
1126,32.724,0.3490277707827444,9,7,473.34,2,0
1127,35.99,0.539908286381629,1,10,1263.8736111111111,1,0
1128,5.7525,-0.17815406220565932,1,1,473.34,1,1
1129,29.35994,0.15241616413682219,1,1,473.34,1,1
1130,32.6,0.34178062322173375,9,27,356.9013888888889,1,0
1131,37.99,0.6567977631721278,1,1,2531.9569444444446,1,0
1132,6.8,-0.08191849656320205,5,17,473.34,2,0
1133,33.74,0.40840762499231803,1,33,473.34,1,0
1134,6.3,-0.12785432741879027,24,10,473.34,2,0
1135,9.75,0.18910290548476852,1,3,473.34,1,1
1136,0.35,-0.6744907146002902,1,1,2698.5380555555557,1,0
1137,32.33,0.32600054385501626,1,1,3080.2463888888888,1,0
1138,37.0,0.5989374721608308,1,24,2039.9883333333332,1,0
1139,35.0,0.4820479953703321,8,1,473.34,1,0
1140,55.0,1.650942763275319,1,1,473.34,2,0
1141,42.0,0.8911611641370775,3,9,473.34,2,0
1142,41.77,0.8777188743061703,3,14,560.4669444444445,1,0
1143,30.56,0.22255335689542494,1,9,473.34,1,0
1144,6.3,-0.12785432741879027,6,21,10.339166666666667,2,0
1145,31.8,0.29502483250553424,2,3,473.34,2,0
1146,31.5,0.2774914109869594,16,2,473.34,2,0
